movie_name,year,genre,description
Muqaddar,1996,Crime,"A gang war takes place between two rivals - Shiva and Parshuram. ACP Khurana is appointed to bring the city back to normal. But when Shiva plans to kill him, destiny has something different for him."
Love Action Drama,2019,"Comedy, Romance",A man goes through all kinds of action to impress the girl he is in love with a hope to marry her.
The Good Soldier Shweik,2010,"Animation, Comedy, Family",An average soldier is caught up in the cogs of an inhuman war machine during the First World War...
Bungo Stray Dogs: Dead Apple,2018,"Animation, Action, Mystery",The Armed Detective Agency investigates a bizarre series of suicides involving an eerie mist.
Womb Raider,2003,"Adventure, Fantasy","When wealthy treasure hunter Cara Loft meets reclusive art collector, Dr. Scrotus, the sexy adventurer is thrust head on into the greatest and most dangerous erotic adventure of her life: the search for the three sacred ""wombs."""
Grace of God,2014,"Drama, Family","Detective Broadly, who lost his faith many years ago, is called to investigate the disappearance of a church's collection plate. When a churchgoer admits to stealing the funds, the confession resurrects Broadly's views on God."
Negro es un bello color,1974,"Drama, Family","An affluent Mexican performer is troubled when her son announces his intentions to marry a Black American woman, and her daughter exhibits erratic behavior."
Penny Points to Paradise,1951,"Comedy, Crime",Harry Flakers is a pools winner who is targeted by a forger.
My Grandpa Is a Vampire,1992,"Comedy, Family","Sent on a trip from California to New Zealand to visit with his eccentric grandfather, Lonny discovers that his grandpa is a vampire. Unnerved at first, he soon discovers that his grandpa is a good vampire."
Shaolin Daredevils,1979,"Action, Drama",The heroes pose as gun dealers and acrobats in order to get close to the bad guys so they can avenge the death of one of their brothers. In the end they lock the bad guys in a warehouse for a final battle to the death.
Cruel Hearts,2018,Thriller,"A young man, Guy, discovers the woman he's been sleeping with is not only married, but married to Burt Walker, a notorious low-level crime boss."
Pearl Harbor,2001,"Action, Drama, History",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
Wolfe with an E,2011,"Comedy, Music, Sci-Fi",Comic mis-adventures ensue when an English music journalist and her science fiction writing neighbor go searching Hollywood for an LA based musician named Henry Wolfe.
Men,2022,"Drama, Fantasy, Horror",A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.
Zatoichi Challenged,1967,"Drama, Adventure, Action","After an artist is threatened by the yakuza into creating valuable but highly illegal pornography, the law aims to execute him. Zatoichi, having been honor bound to protect the man and his family, must now run against the law."
Devoción,2023,"Drama, Romance","Follows Fernando, a priest accused of murder, as he encounters with Ruth, the woman who falls in love with him, and the real crime plot unravels after several intimate rendezvous over a number of years."
Cousinhood,2011,"Adventure, Comedy, Drama",Three cousins travel to the village where they spent summer vacations as kids.
Pieces We Leave Behind,2023,"Drama, Romance","After his wife's death, Matt sets out on the journey across California to bury pieces of her jewelry in the places she wanted to visit."
Amheukgaui 25shi,1970,Crime,"Five people, unaware of the true identities of eac other, bind together to rob a villa on Mt Fuji of thousands of dollars worth of diamonds. However, they are betrayed by one of their members and learn that the target was never diamonds, but a North Korean microfilm"
Hanuman the Immortal,2010,Animation,"Hanuman, under the advice of Vaayu proceeds to the earth to help the chosen savior Kabir from the evil forces of Rock Shah. He along with Maya finally puts an end to Rock Shahs wicked ambitions to dust and help Kabir save the world"
Her Lonely Soldier,1919,"Comedy, Romance","A spinster sends her sister's photograph to a soldier, whose friend poses as him."
Film Noir,2007,"Animation, Crime, Mystery",Private detective Sam Ruben's clever plan falls apart with the onset of amnesia. Everyone is trying to kill him and he doesn't know why. The classic film noir milieu now comes to you in the form of an animated feature.
